num_clusters,WCSS,AMI,ACC,SHIL,HOMO,COMP,V_MEAS,DS,c-type
1,29239.0,-4.3929539281905504e-16,0.4982044529566675,0.0,-4.3929539281905504e-16,1.0,-8.785907856381105e-16,./RF/Abalone,KM
2,11436.374227869346,0.1633954681467299,0.6681829063921475,0.5133562678315056,0.1635937144670694,0.23947728523614611,0.1943924452571252,./RF/Abalone,KM
3,7024.221913720002,0.19134879240782304,0.677759157289921,0.44176458349707526,0.20520263705274813,0.19170691264327966,0.1982253339370106,./RF/Abalone,KM
4,5075.626059204814,0.16432246554712346,0.6533397175005985,0.4154983907520018,0.21748667189241214,0.1647727899613656,0.18749508793497355,./RF/Abalone,KM
5,4063.5651684399986,0.15109652643563917,0.682068470193919,0.38691316859584324,0.23302863168813542,0.15162048603421496,0.18370984239171786,./RF/Abalone,KM
6,3535.1429451737877,0.15148179525704714,0.6823078764663634,0.38799061211796204,0.2340414368913295,0.1521371102390099,0.18440375908719206,./RF/Abalone,KM
7,3032.970631459603,0.14061070240640336,0.6722528130237012,0.36041921834810725,0.24007484024788864,0.14133194327758844,0.17792155341686125,./RF/Abalone,KM
8,2647.907776837935,0.13196337879666686,0.677759157289921,0.3396306944598582,0.24136321886546688,0.1327576571242458,0.17129659160440455,./RF/Abalone,KM
9,2395.106070918325,0.1252748408771406,0.6842231266459181,0.3180189868617405,0.24560698315815788,0.1261290729302174,0.16666761581804337,./RF/Abalone,KM
10,2212.1059218793803,0.11733158296518353,0.6799138137419201,0.29622762229473654,0.24499069170061774,0.11824312905562877,0.15950313170657987,./RF/Abalone,KM
11,2103.888230106336,0.1130690965684122,0.6882930332774718,0.26641753905252524,0.24961081452808354,0.11403243502113185,0.15654754501028187,./RF/Abalone,KM
12,2015.099234605911,0.11143005177786833,0.6890112520948048,0.26320726238979486,0.25508653287164207,0.11245469315796253,0.1560950214629717,./RF/Abalone,KM
13,1927.5502489112362,0.10596348607026433,0.6787167823796983,0.25114908969482563,0.25379972837076836,0.10703951982470503,0.15057453529407064,./RF/Abalone,KM
14,1842.7748308008447,0.10526903284187653,0.6787167823796983,0.25485740973636994,0.2586084816559856,0.10640748097898285,0.15077629424295605,./RF/Abalone,KM
15,1768.4911519041611,0.10532656858450702,0.6844625329183625,0.25911293218044373,0.261359760726084,0.1065427319302546,0.1513769734112993,./RF/Abalone,KM
16,1710.865946508709,0.10134276512354753,0.6825472827388077,0.24612626262563034,0.2591284823057776,0.1026145107069152,0.1470123426611882,./RF/Abalone,KM
17,1663.5385263502014,0.10130722691135319,0.6878142207325832,0.23622081106713647,0.26726098453222086,0.10262267507140745,0.14830088576665262,./RF/Abalone,KM
18,1602.551763762687,0.09928108827276214,0.6808714388316974,0.2370205676140359,0.2618911975066012,0.100684144733161,0.1454499970748633,./RF/Abalone,KM
19,1568.6148762638247,0.0986387841049819,0.6806320325592531,0.23503572709547974,0.26270603598558045,0.10011508600754111,0.1449796375851304,./RF/Abalone,KM
20,1515.9755738158822,0.09789587872238807,0.6832655015561407,0.2293687159544077,0.27134991900447075,0.09939239365690587,0.14549252700538373,./RF/Abalone,KM
21,1482.8244638345602,0.09570258545541886,0.6897294709121379,0.2157158806178472,0.27293445985994297,0.09723845453155765,0.14339096153921993,./RF/Abalone,KM
22,1450.192649563371,0.09627343748774322,0.6851807517356955,0.21505782556759354,0.2773105661884109,0.09787192237733144,0.14468115669343212,./RF/Abalone,KM
23,1419.6722794149794,0.09368058010303783,0.6897294709121379,0.2145264025760653,0.2742467276229052,0.09533498384344062,0.1414859368625816,./RF/Abalone,KM
24,1393.2281422693213,0.09338577850832211,0.6863777830979172,0.21126394944713886,0.2770693064594735,0.09509421527616208,0.14159199779708684,./RF/Abalone,KM
25,1368.8029815247653,0.09081546281150524,0.696911659085468,0.20627125572330374,0.2758268624445369,0.0925642514169483,0.13861195931269957,./RF/Abalone,KM
26,1353.0822959844672,0.09138168766265124,0.6937993775436917,0.2000693105624912,0.2802328190406831,0.09318952679354182,0.13986717233046755,./RF/Abalone,KM
27,1320.8564736052813,0.09096994379842432,0.6935599712712474,0.20530346556818638,0.2812706923381809,0.09283582723600294,0.13959659099327934,./RF/Abalone,KM
28,1298.0550166344847,0.09151186917216261,0.6981086904476898,0.20386196461845735,0.28812287636434597,0.09341637707869725,0.14108847265681712,./RF/Abalone,KM
29,1281.014073234069,0.08993641986988854,0.6952358151783576,0.19710936738605508,0.28703435817021705,0.09189287707753153,0.13921624279721462,./RF/Abalone,KM
35,1175.8552671713417,0.0859197728950225,0.6985875029925784,0.19153922322383957,0.29530977803675584,0.08814025927218008,0.13576047917188735,./RF/Abalone,KM
40,1107.5406004684817,0.08239557349756224,0.6983480967201341,0.1797636879400263,0.2920859345252449,0.08490553803113104,0.131566442360221,./RF/Abalone,KM
50,1004.5558954423525,0.08120998788828951,0.7019391908067991,0.178174863647516,0.3047145033817581,0.08423088727634545,0.1319793143319602,./RF/Abalone,KM
